work_id,constituency_name,financial_year,anomaly_type,anomaly_injected,anomaly_description
WRK001097,Patna Sahib,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK001163,Varanasi,2024-25,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK001224,Kolkata South,2023-24,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK001234,Kolkata South,2024-25,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK001322,Ranchi,2023-24,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK001345,Ranchi,2024-25,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK001369,Ranchi,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK001388,Ranchi,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK001429,Ludhiana,2023-24,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK001436,Ludhiana,2024-25,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK001440,Ludhiana,2024-25,COMPLIANCE_RISK,True,Injected synthetic COMPLIANCE_RISK
WRK001467,Ludhiana,2025-26,AMOUNT_CLUSTERING,True,Injected synthetic AMOUNT_CLUSTERING
WRK001471,Ludhiana,2025-26,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK001485,Ludhiana,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK001493,Ludhiana,2025-26,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK001539,Mumbai South,2024-25,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK001583,Mumbai South,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK001598,Jaipur,2023-24,COMPLIANCE_RISK,True,Injected synthetic COMPLIANCE_RISK
WRK001632,Jaipur,2024-25,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK001684,Jaipur,2025-26,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK001747,Bhopal,2024-25,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK001836,Gurugram,2024-25,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK001850,Gurugram,2024-25,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK001854,Gurugram,2024-25,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK001857,Gurugram,2024-25,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK001874,Gurugram,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK001950,Raipur,2024-25,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK001983,Raipur,2025-26,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK002011,Guwahati,2023-24,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK002012,Guwahati,2023-24,DUPLICATE_WORK,True,Duplicate of WRK002011
WRK002034,Guwahati,2024-25,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK002078,Guwahati,2025-26,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK002105,Bengaluru South,2023-24,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK002131,Bengaluru South,2024-25,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
WRK002161,Bengaluru South,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK002282,Visakhapatnam,2025-26,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK002327,Hyderabad,2024-25,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK002399,Bhubaneswar,2023-24,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK002517,Gandhinagar,2023-24,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK002555,Gandhinagar,2025-26,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK002664,Dehradun,2025-26,DURABILITY_RISK,True,Injected synthetic DURABILITY_RISK
WRK002743,Shimla,2024-25,AMOUNT_CLUSTERING,True,Injected synthetic AMOUNT_CLUSTERING
WRK002767,Shimla,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK002914,Thiruvananthapuram,2023-24,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK002976,Thiruvananthapuram,2025-26,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK003169,New Delhi,2025-26,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK003257,North Goa,2025-26,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK003307,Sikkim,2023-24,COST_OVERRUN,True,Injected synthetic COST_OVERRUN
WRK003308,Sikkim,2023-24,DELAYED_PROJECT,True,Injected synthetic DELAYED_PROJECT
WRK003309,Sikkim,2023-24,DUPLICATE_WORK,True,Duplicate of WRK003308
WRK003323,Sikkim,2024-25,PAYMENT_RISK,True,Injected synthetic PAYMENT_RISK
