release_id,constituency_name,financial_year,installment_number,amount_released,release_date,cumulative_release
REL001001,Patna Sahib,2023-24,1,30972000.0,2023-05-31,30972000.0
REL001002,Patna Sahib,2023-24,2,30972000.0,2023-10-28,61944000.0
REL001003,Patna Sahib,2024-25,1,39900000.0,2024-05-31,39900000.0
REL001004,Patna Sahib,2024-25,2,39900000.0,2024-10-28,79800000.0
REL001005,Patna Sahib,2025-26,1,34552000.0,2025-05-31,34552000.0
REL001006,Patna Sahib,2025-26,2,34552000.0,2025-10-28,69104000.0
REL001007,Varanasi,2023-24,1,35384000.0,2023-05-31,35384000.0
REL001008,Varanasi,2023-24,2,35384000.0,2023-10-28,70768000.0
REL001009,Varanasi,2024-25,1,34736000.0,2024-05-31,34736000.0
REL001010,Varanasi,2024-25,2,34736000.0,2024-10-28,69472000.0
REL001011,Varanasi,2025-26,1,31536000.0,2025-05-31,31536000.0
REL001012,Varanasi,2025-26,2,31536000.0,2025-10-28,63072000.0
REL001013,Kolkata South,2023-24,1,43200000.0,2023-05-31,43200000.0
REL001014,Kolkata South,2023-24,2,43200000.0,2023-10-28,86400000.0
REL001015,Kolkata South,2024-25,1,33652000.0,2024-05-31,33652000.0
REL001016,Kolkata South,2024-25,2,33652000.0,2024-10-28,67304000.0
REL001017,Kolkata South,2025-26,1,29148000.0,2025-05-31,29148000.0
REL001018,Kolkata South,2025-26,2,29148000.0,2025-10-28,58296000.0
REL001019,Ranchi,2023-24,1,36072000.0,2023-05-31,36072000.0
REL001020,Ranchi,2023-24,2,36072000.0,2023-10-28,72144000.0
REL001021,Ranchi,2024-25,1,40384000.0,2024-05-31,40384000.0
REL001022,Ranchi,2024-25,2,40384000.0,2024-10-28,80768000.0
REL001023,Ranchi,2025-26,1,36032000.0,2025-05-31,36032000.0
REL001024,Ranchi,2025-26,2,36032000.0,2025-10-28,72064000.0
REL001025,Ludhiana,2023-24,1,36924000.0,2023-05-31,36924000.0
REL001026,Ludhiana,2023-24,2,36924000.0,2023-10-28,73848000.0
REL001027,Ludhiana,2024-25,1,40404000.0,2024-05-31,40404000.0
REL001028,Ludhiana,2024-25,2,40404000.0,2024-10-28,80808000.0
REL001029,Ludhiana,2025-26,1,32656000.0,2025-05-31,32656000.0
REL001030,Ludhiana,2025-26,2,32656000.0,2025-10-28,65312000.0
