work_id,constituency_name,state_name,district_name,mp_name,work_description,work_category,sanctioned_amount,sanction_date,actual_expenditure,work_status,implementing_agency,financial_year,expected_completion_date,completion_date,latitude,longitude,anomaly_injected
WRK001001,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of drinking water facility and sanitation block in school at Ram Nagar,EDUCATION,3910000.0,2023-04-19,3896616.25,COMPLETED,Public Works Department (PWD),2023-24,2023-08-27,2023-08-22,25.6793,85.0361,
WRK001002,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Upgradation of Primary Health Centre with maternal care equipment at Gandhi Chowk,HEALTH,940000.0,2023-10-27,905124.35,COMPLETED,Rural Development Agency (DRDA),2023-24,2024-04-22,2024-04-19,25.6415,85.2229,
WRK001003,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of CC road and drainage channel from Main Market to Vikas Puri,ROADS,4230000.0,2023-09-13,3968720.78,COMPLETED,Municipal Corporation Engineering Cell,2023-24,2024-03-13,2024-03-07,25.6309,85.1818,
WRK001004,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of piped drinking water supply scheme with solar pump at Shivaji Nagar,DRINKING_WATER,2210000.0,2023-06-06,2070240.84,COMPLETED,Zilla Parishad Engineering Division,2023-24,2023-12-29,2023-12-22,25.6543,85.0459,
WRK001005,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of decentralized solid waste segregation and processing unit at Gandhi Chowk,SANITATION,2900000.0,2023-07-12,2816479.94,COMPLETED,Irrigation & Public Health Division,2023-24,2023-12-11,2023-12-03,25.4654,85.0518,
WRK001006,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of covered shed and crematorium facility with lighting at Adarsh Nagar,COMMUNITY_ASSETS,1530000.0,2023-05-14,1519367.86,COMPLETED,Public Works Department (PWD),2023-24,2023-08-20,2023-08-15,25.722,85.0605,
WRK001007,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of integrated solar LED street lighting units across Kisan Basti,POWER,4480000.0,2023-11-04,4314769.46,COMPLETED,Rural Development Agency (DRDA),2023-24,2024-05-29,2024-05-27,25.4571,84.9559,
WRK001008,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of drinking water facility and sanitation block in school at Subhash Ward,EDUCATION,1490000.0,2023-10-18,1383870.18,COMPLETED,Municipal Corporation Engineering Cell,2023-24,2024-02-20,2024-02-10,25.6038,84.9364,
WRK001009,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Supply of mobile health dispensary unit and diagnostic lab at Subhash Ward,HEALTH,2230000.0,2023-05-18,2053648.21,COMPLETED,Zilla Parishad Engineering Division,2023-24,2023-12-13,2023-12-01,25.6116,85.2884,
WRK001010,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Construction of reinforced cement concrete culvert and approach road at Vikas Puri,ROADS,3960000.0,2023-08-30,3945368.89,COMPLETED,Irrigation & Public Health Division,2023-24,2024-02-23,2024-02-16,25.4446,85.0739,
WRK001011,Patna Sahib,Bihar,Patna,Ravi Shankar Prasad,Installation of community reverse osmosis water purification plant at Station Road,DRINKING_WATER,4610000.0,2023-12-31,4379099.43,COMPLETED,Public Works Department (PWD),2023-24,2024-06-14,2024-06-04,25.7367,85.1031,
