"Work ID","Work Description","Category","MP Name","Constituency","State","House","Final Amount (₹)","Completed Date","Has Images","Average Rating","IDA"
68103,"(i) Providing of CC Road.

(ii) The work providing of CC Roads.","Normal/Others","Shri S Niranjan Reddy (2022-28)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",1992293,"2024-08-12T00:00:00.000Z",true,,"Palnadu(District Collector Palnadu_IDA)"
68119,"Providing MS connecting corridor between Gynaec ward and Family Planning OT.","Normal/Others","Shri S Niranjan Reddy (2022-28)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",1473991,"2024-04-26T00:00:00.000Z",true,,"Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)"
68125,"Repairs and renovation of Cardiology block in KGH.","Repair and Renovation","Shri S Niranjan Reddy (2022-28)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",2190919,"2024-08-30T00:00:00.000Z",false,,"Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)"
87025,"Construction of 2nd floor of Community Hall at Datta Temple in Panchadevepad village, Makthal Mandal, Narayanpet District","Normal/Others","Shri V. Vijayendra Prasad (2022-28)","Nominated Rajya Sabha","Andhra Pradesh","Rajya Sabha",4956433,"2026-02-03T00:00:00.000Z",true,,"Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)"
87030,"Construction of balance work of 2nd floor of Community Hall at Datta Temple in Panchadevepad village, Makthal Mandal, Narayanpet District","Normal/Others","Shri V. Vijayendra Prasad (2022-28)","Nominated Rajya Sabha","Andhra Pradesh","Rajya Sabha",4955914,"2026-02-03T00:00:00.000Z",true,,"Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)"
87035,"Construction of a dining hall at GOVERNMENT HIGH SCHOOL","Normal/Others","Shri V. Vijayendra Prasad (2022-28)","Nominated Rajya Sabha","Andhra Pradesh","Rajya Sabha",2349768,"2025-02-13T00:00:00.000Z",true,,"Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)"
105499,"Construction of Reference Section(Or Reading room) at 
branch library, Kovvuru.","Normal/Others","Shri V. Vijayendra Prasad (2022-28)","Nominated Rajya Sabha","Andhra Pradesh","Rajya Sabha",5089367,"2026-01-21T00:00:00.000Z",true,,"EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)"
109095,"Providing LED High Mast Lighting at the location given below: 
GP/Village/Mandal : Mattaiah Faram Thanda/ Navipet;
District : Nizamabad;","Normal/Others","Shri V. Vijayendra Prasad (2022-28)","Nominated Rajya Sabha","Andhra Pradesh","Rajya Sabha",150000,"2024-07-19T00:00:00.000Z",false,,"NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)"
109124,"Providing LED High Mast Lighting at the location given below: 
GP/Village/Mandal : Abbapur Thanda/ Navipet;
District : Nizamabad;","Normal/Others","Shri V. Vijayendra Prasad (2022-28)","Nominated Rajya Sabha","Andhra Pradesh","Rajya Sabha",150000,"2024-07-19T00:00:00.000Z",false,,"NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)"
109135,"Providing LED High Mast Lighting at the location given below: 
GP/Village/Mandal : Maddepally Thanda 1/ Navipet;
District : Nizamabad;","Normal/Others","Shri V. Vijayendra Prasad (2022-28)","Nominated Rajya Sabha","Andhra Pradesh","Rajya Sabha",150000,"2024-07-19T00:00:00.000Z",false,,"NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)"
