"MP Name","Constituency","State","House","Work Description","Vendor","IDA","Expenditure Amount (₹)","Expenditure Date","Payment Status"
"Dr. Dinesh Sharma (2023-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha","Purchase of ambulances (Four, three and two wheelers)","FORCE MOTORS LIMITED","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)",4282950,"2026-08-20T00:00:00.000Z","Payment In-Progress"
"Shri Rajeev Shukla (2022-28)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha","Construction of roads, link roads, pathways or any other road with or without drainage system","SARPANCH GRAM PANCHYAT Manikchauri","DURG(DISTRICT COLLECTOR DURG_IDA)",259974,"2026-08-14T00:00:00.000Z","Payment In-Progress"
"Smt. Ranjeet Ranjan (2022-28)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha","Development of playfields and sports grounds","GRAM PANCHAYAT MANAKONI","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)",250000,"2026-08-17T00:00:00.000Z","Payment In-Progress"
"Dr. Bhim Singh (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha","Construction of roads, link roads, pathways or any other road with or without drainage system","VAIBHAV VATSHALYA","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)",1168000,"2026-09-01T00:00:00.000Z","Payment In-Progress"
"Dr. Bhim Singh (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha","Construction of roads, link roads, pathways or any other road with or without drainage system","VAIBHAV VATSHALYA","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)",645000,"2026-09-01T00:00:00.000Z","Payment In-Progress"
"Dr. Bhim Singh (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha","Construction of roads, link roads, pathways or any other road with or without drainage system","VAIBHAV VATSHALYA","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)",1488000,"2026-09-01T00:00:00.000Z","Payment In-Progress"
"Smt. Phulo Devi Netam (2026-32)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha","Construction of culverts and bridges","Rameshwar Gupta","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)",999938,"2026-08-27T00:00:00.000Z","Payment In-Progress"
"Shri S. Selvaganabathy (2021-27)","Sitting Rajya Sabha","Puducherry","Rajya Sabha","Purchase of IT systems, including hardware and software for educational purposes","Defy Systems","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)",193860,"2026-08-17T00:00:00.000Z","Payment In-Progress"
"Shri S. Selvaganabathy (2021-27)","Sitting Rajya Sabha","Puducherry","Rajya Sabha","Purchase of IT systems, including hardware and software for educational purposes","Defy Systems","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)",1785250,"2026-08-17T00:00:00.000Z","Payment In-Progress"
"Shri S. Selvaganabathy (2021-27)","Sitting Rajya Sabha","Puducherry","Rajya Sabha","Purchase of IT systems, including hardware and software for educational purposes","Defy Systems","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)",144680,"2026-08-17T00:00:00.000Z","Payment In-Progress"
"Shri S. Selvaganabathy (2021-27)","Sitting Rajya Sabha","Puducherry","Rajya Sabha","Purchase of IT systems, including hardware and software for educational purposes","Defy Systems","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)",26738,"2026-08-17T00:00:00.000Z","Payment In-Progress"
"Shri S. Selvaganabathy (2021-27)","Sitting Rajya Sabha","Puducherry","Rajya Sabha","Purchase of IT systems, including hardware and software for educational purposes","Defy Systems","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)",211599,"2026-08-17T00:00:00.000Z","Payment In-Progress"
"Smt. Rajathi (2025-31)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha","Construction of culverts and bridges","TAMIL NADU JOURNALIST WELFARE BOARD FUND","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)",168,"2026-08-19T00:00:00.000Z","Payment In-Progress"
"Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha","Street lights","HANSH ENTERPRISES","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)",19600,"2026-07-07T00:00:00.000Z","Payment In-Progress"
