"MP Name","Constituency","State","House","Allocated Amount (₹)","Amount Recommended (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Balance Not Yet Paid to Vendors (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Smt. Sudha Murty (2024-30)","Nominated Rajya Sabha","Karnataka","Rajya Sabha",147000000,147000000,71000000,100,0,11,0,76000000,8,8,0,"N/A"
"Smt. Geeta alias Chandraprabha (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,196063956.35,169877016.35,100,210,247,85.02,26186940,313,313,0,"N/A"
"Shri Ramji Lal Suman (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,146806953,93005621,99.87,29,93,31.18,53801332,120,120,0,"N/A"
"Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",173830159.11,173445859.4,135441468.4,99.78,210,408,51.47,38004391,314,302,12,"N/A"
"Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",171500000,171094899,31616893,99.76,51,163,31.29,139478006,60,60,0,"N/A"
"Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",196063957.11,195461585,130587101,99.69,126,208,60.58,64874484,166,166,0,"N/A"
"Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",235263957.11,234514150,183753433,99.68,138,206,66.99,50760717,174,174,0,"N/A"
"Smt. Phulo Devi Netam (2026-32)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha",49000000,48777604,12348157,99.55,0,81,0,36429447,20,16,4,"N/A"
"Dr. Anil Sukhdeorao Bonde (2022-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",196063957.11,194938204,86399726,99.43,50,185,27.03,108538478,84,79,5,"N/A"
"Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",260812242.52,259234270,207877791,99.39,193,244,79.1,51356479,198,198,0,"N/A"
"Shri Mithlesh Kumar (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,194673928,170753928,99.29,195,203,96.06,23920000,232,232,0,"N/A"
"Shri Arun Singh (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",223492764.11,221643804,151462382,99.17,46,111,41.44,70181422,197,194,3,"N/A"
"Shri Surendra Singh Nagar (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",220563957.11,218335769,109500434.16,98.99,98,299,32.78,108835334.84,281,272,9,"N/A"
"Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",239763792.52,237177871,183132534,98.92,141,185,76.22,54045337,188,181,7,"N/A"
"Smt. S. Phangnon Konyak (2022-28)","Sitting Rajya Sabha","Nagaland","Rajya Sabha",206563957.11,204171000,200229200,98.84,58,77,75.32,3941800,126,125,1,"N/A"
"Smt. Sangeeta Yadav (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,193736886.47,169940841,98.81,43,121,35.54,23796045.47,261,260,1,"N/A"
"Shri Brij Lal (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,193733662,92124068,98.81,113,150,75.33,101609594,161,159,2,"N/A"
"Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,193617928,162685314.28,98.75,125,193,64.77,30932613.72,261,251,10,"N/A"
