"Work ID","Work Description","Category","MP Name","Constituency","State","House","Recommended Amount (₹)","Recommendation Date","Has Images","IDA"
311247,"Improvement of road from Tangla Dimakuchi Road to Prabin Lakra house at Amguri under Bhergaon Dev Block (approx 2km)","Normal/Others","Shri Pramod Boro (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",300000,"2026-09-02T00:00:00.000Z",false,"UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)"
311249,"Construction of Assembly Hall, Sauraguri village","Normal/Others","Shri Pramod Boro (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",700000,"2026-09-02T00:00:00.000Z",false,"TAMULPUR(IDA Tamulpur)"
311251,"Solar-powered drinking water for Monipur village, Dhamdhama block","Normal/Others","Shri Pramod Boro (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",3000000,"2026-09-02T00:00:00.000Z",false,"BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)"
311252,"Road construction at Kumtibari Bipul Boro's house to Tangwnmara Bihuram Basumatary's House (800m approx)","Normal/Others","Shri Pramod Boro (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",300000,"2026-09-02T00:00:00.000Z",false,"TAMULPUR(IDA Tamulpur)"
311263,"Improvement of road from TD Road to Premsing house (1km approx.)","Normal/Others","Shri Pramod Boro (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",500000,"2026-09-02T00:00:00.000Z",false,"UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)"
311271,"Development of Assembly Hall","Normal/Others","Shri Pramod Boro (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",500000,"2026-09-02T00:00:00.000Z",false,"TAMULPUR(IDA Tamulpur)"
311274,"Road construction from Dwimalu Basumatary House to Dharmen Basumatary house (700m approx)","Normal/Others","Shri Pramod Boro (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",300000,"2026-09-02T00:00:00.000Z",false,"TAMULPUR(IDA Tamulpur)"
311275,"Solar powered drinking water facility for Subankhata village, Dhamdhama block","Normal/Others","Shri Pramod Boro (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",3000000,"2026-09-02T00:00:00.000Z",false,"BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)"
311278,"Improvement of road at Danganai to Lohit Mushahary Paddy Field","Normal/Others","Shri Pramod Boro (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",2500000,"2026-09-02T00:00:00.000Z",false,"KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)"
311290,"Constructing an iron shed for cows strong metal framework, proper roof height for ventilation.","Normal/Others","Shri Subhash Barala (2024-30)","Sitting Rajya Sabha","Haryana","Rajya Sabha",500000,"2026-09-02T00:00:00.000Z",false,"KAITHAL(DC CUM NODAL OFFICERS MPLADS)"
311300,"Road construction from Dumuria village (Naldapara) Bathou Mandir to Dumuria LP School under 3 no. Dakhin Kumarikata VCDC, Tamulpur Dev Block, Dist Tamulpur (1km approx)","Normal/Others","Shri Pramod Boro (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",400000,"2026-09-02T00:00:00.000Z",false,"TAMULPUR(IDA Tamulpur)"
311323,"Construction of additional rooms and halls in the existing public and community building","Normal/Others","Shri Subhash Barala (2024-30)","Sitting Rajya Sabha","Haryana","Rajya Sabha",1000000,"2026-09-02T00:00:00.000Z",false,"FATEHABAD(Deputy Commissioner Fatehabad)"
